"Category","Name","Manufacturer","Scheme","Assurance Level","Protection Profile(s)","Certification Date","Archived Date","Certification Report URL","Security Target URL","Maintenance Date","Maintenance Title","Maintenance Report","Maintenance ST"
"Access Control Devices and Systems","Bandi SSO v7.0","Bandi S","KR","None","","09/08/2021","09/08/2026","http://216.117.4.138:80/files/epfiles/[KECS-CR-21-52] Certification Report(Bandi SSO v7.0) V1.0.pdf","http://216.117.4.138:80/files/epfiles/Bandi_SSO_v7.0_ST_v006_eng.pdf","","","",""
"Access Control Devices and Systems","DriveLock Agent 2019.2 (Device and  Application Control) SP 1","DriveLock SE","SE","EAL3,ALC_FLR.3","","04/07/2021","04/07/2026","http://216.117.4.138:80/files/epfiles/Certification Report - DriveLock Agent 2019.2.pdf","http://216.117.4.138:80/files/epfiles/ST - DriveLock.pdf","","","",""
"Access Control Devices and Systems","NetIQ Identity Manager 4.7","NetIQ Corporation","SE","EAL3+,ALC_FLR.2","","06/15/2020","06/15/2025","http://216.117.4.138:80/files/epfiles/Certification Report - NetIQ® Identity Manager 4.7.pdf","http://216.117.4.138:80/files/epfiles/ST - NetIQ Identity Manager 4.7.pdf","","","",""
"Access Control Devices and Systems","Magic SSO V4.0","Dreamsecurity Co., Ltd.","KR","None","KECS-PP-0822-2017 SSO V1.0","11/15/2019","11/15/2024","http://216.117.4.138:80/files/epfiles/KECS-CR-19-70 Magic SSO V4.0(eng) V1.0.pdf","http://216.117.4.138:80/files/epfiles/Magic_SSO_V4.0-ST-v1.4_EN.pdf","","","",""
"Access Control Devices and Systems","NetIQ Access Manager 4.5","NetIQ, Incorporated","NL","EAL3+,ALC_FLR.1","","11/07/2019","11/07/2024","http://216.117.4.138:80/files/epfiles/[CR] CC-19-0006151-CR.pdf","http://216.117.4.138:80/files/epfiles/[ST] NetIQ Access Manager EAL3 ST 2.0.pdf","","","",""
"Access Control Devices and Systems","Illumio Adaptive Security Platform v18.2.2","Illumio","CA","None","PP_ESM_PM_V2.1","07/12/2019","07/12/2024","http://216.117.4.138:80/files/epfiles/383-4-459 CR v1.0.pdf","http://216.117.4.138:80/files/epfiles/383-4-459 Illumio ASP Security Target v1.3 .pdf","","","",""
"Access Control Devices and Systems","openNAC Enterprise v1.2","Open Cloud Factory","ES","EAL2","","06/18/2019","06/18/2024","http://216.117.4.138:80/files/epfiles/2017-10-INF-2789.pdf","http://216.117.4.138:80/files/epfiles/2017-10-ST.pdf","","","",""
"Access Control Devices and Systems","ISign&#x2b; v3.0","PENTA SECURITY SYSTEMS INC.","KR","None","KECS-PP-0822-2017 SSO V1.0","04/10/2019","04/10/2024","http://216.117.4.138:80/files/epfiles/KECS-CISS-0924-2019_CR_EN.pdf","http://216.117.4.138:80/files/epfiles/KECS-CISS-0924-2019_ST_EN.pdf","","","",""
"Access Control Devices and Systems","Pass-Ni SSO v4.0","UbiNtisLab Co., Ltd.","KR","None","KECS-PP-0822-2017 SSO V1.0","03/04/2019","03/04/2024","http://216.117.4.138:80/files/epfiles/KECS-CR-19-11 Pass-Ni SSO v4.0(eng).pdf","http://216.117.4.138:80/files/epfiles/PassNi-SSO-v4.0-ST-V1.0.R6(EN).pdf","","","",""
"Access Control Devices and Systems","KSignAccess V4.0","KSign Co., Ltd.","KR","None","KECS-PP-0822-2017 SSO V1.0","01/11/2019","01/11/2024","http://216.117.4.138:80/files/epfiles/KECS-CR-19-01 KSignAccess V4.0(eng) V1.00.pdf","http://216.117.4.138:80/files/epfiles/KSignAccess V4.0 Security Target V1.2.pdf","","","",""
"Access Control Devices and Systems","OAM &#x28;Operation, Administration &amp;  Management&#x2f;Maintenance&#x29; Module  VCL-MX Version 6 80 E1, 160Mbps Voice &amp; Data Multiplexer","Valiant Communications Limited  71&#x2f;1 Shivaji Marg, New Delhi-110015, India","IN","EAL1","","12/12/2018","","http://216.117.4.138:80/files/epfiles/CR-OAM_EAL1.pdf","http://216.117.4.138:80/files/epfiles/ST_version1.4_Valient.pdf","","","",""
"Access Control Devices and Systems","Thycotic Secret Server Government Edition v10.0","Thycotic","CA","None","PP_ESM_ICM_V2.1","10/23/2018","09/11/2023","http://216.117.4.138:80/files/epfiles/383-4-445 CR v1.1e.pdf","http://216.117.4.138:80/files/epfiles/383-4-445 ST v1.5.pdf","","","",""
"Access Control Devices and Systems","TouchEn wiseaccess v1.3","RaonSecure Co., Ltd","KR","None","KECS-PP-0822-2017 SSO V1.0","09/20/2018","09/20/2023","http://216.117.4.138:80/files/epfiles/KECS-CR-18-44 Certification Report.pdf","http://216.117.4.138:80/files/epfiles/wiseaccess-D-ST v1.3.07(eng).pdf","","","",""
"Access Control Devices and Systems","File Encryption Protection Profile","Swedish Civil Contingencies Agency","SE","EAL3,ALC_FLR.2","","08/22/2018","08/22/2023","http://216.117.4.138:80/files/epfiles/Certification Report FileEncryptionPP.pdf","http://216.117.4.138:80/files/epfiles/File Encryption PP v1.0.pdf","","","",""
"Access Control Devices and Systems","INISAFE Nexess V4","INITECH","KR","None","KECS-PP-0822-2017 SSO V1.0","08/20/2018","08/20/2023","http://216.117.4.138:80/files/epfiles/KECS-CR-18-36 INISAFE Nexess V4(eng).pdf","http://216.117.4.138:80/files/epfiles/CCP.C_NX42_Security_Target(ST_lite)_V1.13(EN).pdf","","","",""
"Access Control Devices and Systems","xPortalNet HS Server version 2.0.0.2, xPortalNet HS Client version 2.0.0.2 and Xp-GLS5100 Controllers","MicroEngine Technology Sdn Bhd","MY","EAL2","","03/16/2018","","http://216.117.4.138:80/files/epfiles/ISCB-5-RPT-C092-CR-v1.pdf","http://216.117.4.138:80/files/epfiles/xPortalNet HS Security Target v1.0.pdf","","","",""
"Access Control Devices and Systems","CA Technologies CA API Gateway v9.2","CA Technologies","CA","EAL1","PP_ESM_AC_V2.1,PP_ESM_PM_V2.1","10/10/2017","10/10/2022","http://216.117.4.138:80/files/epfiles/383-4-417 CR v1.1e.pdf","http://216.117.4.138:80/files/epfiles/CA API Gateway 9.2_ST_1.2.pdf","","","",""
"Access Control Devices and Systems","API Technologies&trade; Netgard&trade; MFD v1.8","API Technologies","CA","EAL2+,ALC_FLR.2","","09/01/2017","09/01/2022","http://216.117.4.138:80/files/epfiles/383-4-428 CR v1.0e.pdf","http://216.117.4.138:80/files/epfiles/383-4-428 ST v1.1.pdf","","","",""
